,0
879,0.9241009
880,0.85802317
881,0.9388895
882,0.99172324
883,0.9682958
884,0.94115907
885,0.95047337
886,0.98239255
887,0.9897589
888,0.75880814
889,0.95036256
890,0.847045
891,0.99556655
892,0.97699404
893,0.7024036
894,0.99196213
895,0.9440261
896,0.9476554
897,0.6568695
898,0.99971133
899,0.7388824
900,0.75283873
901,0.979453
902,0.90083337
903,0.67473733
904,0.9784932
905,0.9636256
906,0.9925067
907,0.9962017
908,0.6043663
909,0.955511
910,0.82834643
911,0.71143675
912,0.95014524
913,0.7261084
914,0.9898597
915,0.6083798
916,0.83157945
917,0.92150956
918,0.98033756
919,0.99481857
920,0.851058
921,0.99963
922,0.86492974
923,0.9978272
924,0.99648505
925,0.86308444
926,0.9100225
927,0.99269414
928,0.9589644
929,0.93269473
930,0.73592675
931,0.6716894
932,0.8465208
933,0.7430612
934,0.7458449
935,0.7474273
936,0.6936279
937,0.96194303
938,0.59257466
939,0.617995
940,0.9894683
941,0.74529135
942,0.7707053
943,0.9427579
944,0.84422004
945,0.90436083
946,0.97467846
947,0.6273306
948,0.7685904
949,0.7860907
950,0.9832437
951,0.9932268
952,0.72013974
953,0.62915415
954,0.86294913
955,0.93215823
956,0.8935339
957,0.9199205
958,0.92388874
959,0.9766354
960,0.97669864
961,0.98591554
962,0.5901133
963,0.8769822
964,0.8229291
965,0.8376863
966,0.9565638
967,0.9984435
968,0.5992901
969,0.68990475
970,0.9999413
971,0.62379277
972,0.76008576
973,0.6866592
974,0.8631235
975,0.9959374
976,0.9960081
977,0.9666432
978,0.75258994
979,0.9880134
980,0.8806353
981,0.9952478
982,0.980364
983,0.9850594
984,0.7922862
985,0.6097104
986,0.61778736
987,0.77579516
988,0.75478137
989,0.92906815
990,0.97987545
991,0.6044327
992,0.9824278
993,0.9801639
994,0.91710734
995,0.97315854
996,0.9556289
997,0.94158113
998,0.99550617
999,0.8099681
1000,0.7333626
1001,0.99439883
1002,0.76053023
1003,0.6470216
1004,0.98971486
1005,0.9981605
1006,0.9829803
1007,0.99826545
1008,0.6798835
1009,0.98145294
1010,0.9903001
1011,0.8938795
1012,0.6618689
1013,0.66252714
1014,0.9900223
1015,0.98179847
1016,0.8004696
1017,0.9962955
1018,0.99847424
1019,0.83690846
1020,0.8713946
1021,0.8570077
1022,0.97244316
1023,0.5956308
1024,0.76430243
1025,0.776338
1026,0.9699791
1027,0.6223814
1028,0.67293906
1029,0.99669194
1030,0.9817422
1031,0.9709976
1032,0.9673393
1033,0.6030208
1034,0.63578796
1035,0.9673055
1036,0.9899806
1037,0.6091152
1038,0.6323271
1039,0.9177988
1040,0.6778161
1041,0.60216194
1042,0.8667787
1043,0.9412984
1044,0.99064976
1045,0.9897031
1046,0.9877834
1047,0.7943573
1048,0.99167347
1049,0.77835935
1050,0.88032967
1051,0.7226932
1052,0.8295124
1053,0.987757
1054,0.99650353
1055,0.8935527
1056,0.7559028
1057,0.5989435
1058,0.9752002
1059,0.9963462
1060,0.74645305
1061,0.7686425
1062,0.88477194
1063,0.99645096
1064,0.974672
1065,0.98999745
1066,0.9893735
1067,0.9377063
1068,0.6593018
1069,0.97578007
1070,0.80285203
1071,0.62853366
1072,0.86704487
1073,0.9151008
1074,0.8848347
1075,0.9869795
1076,0.6278355
1077,0.60316324
1078,0.97700673
1079,0.7507896
1080,0.9664802
1081,0.9754363
1082,0.87839925
1083,0.99994636
1084,0.6110666
1085,0.97401416
1086,0.58970946
1087,0.9068277
1088,0.9691991
1089,0.9809983
1090,0.7088531
1091,0.9255186
1092,0.74434936
1093,0.9391978
1094,0.9864193
1095,0.958935
1096,0.9404528
1097,0.7162514
1098,0.93849534
1099,0.96334183
1100,0.9961927
1101,0.89915514
1102,0.9968281
1103,0.9662368
1104,0.9805976
1105,0.8318242
1106,0.5905448
1107,0.7627972
1108,0.6632319
1109,0.95976585
1110,0.9569281
1111,0.6863794
1112,0.9971452
1113,0.9058662
1114,0.85209334
1115,0.593896
1116,0.7398374
1117,0.9579255
1118,0.90209424
1119,0.5991902
1120,0.98543376
1121,0.67216516
1122,0.87456465
1123,0.9859681
1124,0.99099344
1125,0.99026763
1126,0.5992511
1127,0.9932771
1128,0.6829268
1129,0.99449337
1130,0.63771814
1131,0.6128466
1132,0.9922264
1133,0.6111261
1134,0.97273254
1135,0.6527748
1136,0.93945223
1137,0.9494675
1138,0.8771916
1139,0.9685907
1140,0.9736177
1141,0.9903167
1142,0.98941684
1143,0.58505917
1144,0.7977983
1145,0.81913334
1146,0.98813355
1147,0.9857432
1148,0.99089867
1149,0.9410154
1150,0.9927325
1151,0.99635553
1152,0.97499794
1153,0.7821976
1154,0.59613687
1155,0.97950166
1156,0.9028382
1157,0.9809851
1158,0.9778639
1159,0.82810336
1160,0.978169
1161,0.94641805
1162,0.9925971
1163,0.9430677
1164,0.9928765
1165,0.9880097
1166,0.8581547
1167,0.96089816
1168,0.97575307
1169,0.64436054
1170,0.92579544
1171,0.6081358
1172,0.7649863
1173,0.9894864
1174,0.9874459
1175,0.9969009
1176,0.70740855
1177,0.66001195
1178,0.85804826
1179,0.98172987
1180,0.890084
1181,0.6355852
1182,0.9995063
1183,0.7839574
1184,0.9921015
1185,0.88587683
1186,0.9852464
1187,0.9933764
