SVD_Rank_Index,ViT,Oracle Context,Oracle Spatial,Segformer
39,-3.5114172534560666,-2.4380584523563513,-2.4322754703141873,-7.805545163135435
40,-3.590288404567458,-2.4730305771004666,-2.498064224620707,-7.809274678267948
41,-3.622485329596712,-2.4866565747945493,-2.5165022490652955,-7.8266942475616
42,-3.6561305511869944,-2.5489850464591273,-2.5875926128283626,-7.8413810420123715
43,-3.696235500399554,-2.604416799655069,-2.6026005891130275,-7.8631855434970666
44,-3.704394504650235,-2.6551763973680926,-2.6517931105665307,-7.883371923663423
45,-3.750052151751314,-2.7032909783264243,-2.7143012637033626,-7.913163593549647
46,-3.770759240084441,-2.7791141280270666,-2.748956502220912,-7.918873466135684
47,-3.7844111884370757,-2.7979468159284684,-2.7932578055402884,-7.929072734523228
48,-3.7943765405587233,-2.8130055261142353,-2.8075391328903434,-7.945531001541956
49,-3.8284551750003946,-2.872715734390148,-2.8611486406822224,-7.955487167025554
50,-3.8560944031409243,-2.8968853894347997,-2.869993024185172,-7.965292028107459
51,-3.8708845895901485,-2.919561359778988,-2.9247988641231486,-7.9759943204876675
52,-3.901107342710946,-2.9533082399992816,-2.9370375396793555,-7.989569507962866
53,-3.913343132057592,-2.996968470944131,-3.0178956477182495,-7.999827954026211
54,-3.934394507495317,-3.071373933132293,-3.071291712893162,-8.007211566484347
55,-3.9439808356060837,-3.1339726489777457,-3.097696449335133,-8.014378185879433
56,-3.960704614090946,-3.1425844460970938,-3.115927907877325,-8.017064544531312
57,-4.0023736924905515,-3.147419903770383,-3.1392832988302715,-8.028743637145691
58,-4.012110647626396,-3.148001567470319,-3.1590996652255257,-8.052140094430085
59,-4.021308457629532,-3.1885397249658287,-3.1857576783773025,-8.058500998063773
60,-4.043606625763687,-3.218732850966811,-3.2058805902971277,-8.080196845327798
61,-4.062269841156356,-3.2277314266963724,-3.2338579717847185,-8.088468877948706
62,-4.07015096722067,-3.2460245102426155,-3.259460467783678,-8.094276505836321
63,-4.09137905385233,-3.3090561686515643,-3.3007515181925506,-8.1099038949095
64,-4.092568232809314,-3.32821752046933,-3.3458250888779544,-8.122035497593044
65,-4.107689473534908,-3.379885067748786,-3.381824096072341,-8.134820282234257
66,-4.12583339436405,-3.3943739206496164,-3.404808994166165,-8.140877415460503
67,-4.147233047564055,-3.4411865223233575,-3.441015106910582,-8.14944501842794
68,-4.161680125221475,-3.4620840789013783,-3.450895007940898,-8.157307161436073
69,-4.166640328561947,-3.4726327466488067,-3.463589723587844,-8.165080737672882
70,-4.190074057531527,-3.493894839794104,-3.477931289045948,-8.182413826155672
71,-4.204377982908588,-3.517748954434717,-3.5079115992464636,-8.192844108739392
72,-4.24247229682915,-3.5399420456472237,-3.524375713559891,-8.19739363174511
73,-4.267293775591476,-3.5710806163958506,-3.556064210463644,-8.210490633166133
74,-4.273343614394987,-3.600504084523247,-3.579384612056809,-8.218196586990434
75,-4.279600617957731,-3.6067616524778523,-3.5985883405928605,-8.225455061957812
76,-4.287391466771951,-3.6481666597781723,-3.621967182925109,-8.232071938095794
77,-4.314510254320444,-3.672644856733239,-3.652775246833973,-8.241120872869258
78,-4.326126867132804,-3.6983419712005223,-3.7104780037803717,-8.247122975036683
79,-4.337470646448145,-3.7143437059184334,-3.730529750412633,-8.248122759993711
80,-4.338412076273454,-3.7407349064746263,-3.7452374778865973,-8.251664486866309
81,-4.3493706106715475,-3.7664657991567423,-3.753171993665503,-8.260212777260897
82,-4.371732331594862,-3.791184403647915,-3.766006351106001,-8.264034408681102
83,-4.388704745546056,-3.8014439555736765,-3.8052257940916996,-8.270508767390131
84,-4.396489703335995,-3.8088156741666204,-3.821976530624239,-8.280569121657578
85,-4.404276474086379,-3.827554779852786,-3.8337461285701924,-8.287239108546162
86,-4.412092136248831,-3.8718535528839917,-3.8852348526934004,-8.296802782787983
87,-4.440181877038462,-3.917146872699622,-3.91584959284793,-8.31202041826557
88,-4.461959174442336,-3.935049570022583,-3.930539604431618,-8.317035327592952
89,-4.467243919483008,-3.9428838148177396,-3.940603050400846,-8.32838227246583
90,-4.480822167509696,-3.9735802007659067,-3.9527843410108208,-8.332529732553128
91,-4.482400834083678,-3.9825757243956477,-3.9650257907733044,-8.339798981896198
92,-4.5042832005107,-3.999500351400316,-3.9866628788323277,-8.351992942229632
93,-4.513275182488635,-4.027526822331958,-4.006238806108505,-8.359558553536258
