,w_time,step_num,val,run_name,metric,coreset_algorithm,repitition,coreset_frac,sim_metric,embedding,experiment_name,epsilon
797,1693914709,51,0.8928067088,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
798,1693916246,54,0.9300612807,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
799,1693917783,57,0.914832592,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
800,1693919320,60,0.954564929,milo_ViT_05,valid_loss,milo,a,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
801,1693796981,3,1.053031683,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
802,1693798510,6,0.9340948462,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
803,1693800038,9,0.948539257,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
804,1693801566,12,0.9009865522,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
805,1693803095,15,0.8482649326,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
806,1693804623,18,0.9644448757,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
807,1693806151,21,0.8998837471,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
808,1693807679,24,0.8814336061,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
809,1693809208,27,0.8623303175,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
810,1693810738,30,0.8668715358,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
811,1693812266,33,0.8682892919,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
812,1693813795,36,0.8566778898,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
813,1693815323,39,0.8816893697,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
814,1693816852,42,0.866879046,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
815,1693818381,45,0.8390389085,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
816,1693819909,48,0.9291232228,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
817,1693821438,51,0.9513044953,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
818,1693822967,54,0.8853494525,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
819,1693824495,57,0.8805336952,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
820,1693826023,60,0.8904069066,milo_ViT_05,valid_loss,milo,b,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,0.01
821,1693827602,3,1.057487369,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
822,1693829132,6,0.9788188338,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
823,1693830663,9,0.9284459949,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
824,1693832193,12,0.9193726182,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
825,1693833723,15,0.93255198,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
826,1693835252,18,0.9214078188,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
827,1693836782,21,0.8741967678,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
828,1693838312,24,0.8919395804,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
829,1693839844,27,0.8611943722,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
830,1693841377,30,0.8887503147,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
831,1693842906,33,0.9052023292,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
832,1693844436,36,0.8846950531,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
833,1693845967,39,0.8947600722,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
834,1693847497,42,0.8680112958,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
835,1693849027,45,0.9044835567,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
836,1693850558,48,0.888515234,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
837,1693852088,51,0.902492106,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
838,1693853619,54,0.9208653569,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
839,1693855150,57,0.936429739,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
840,1693856681,60,0.9350081086,milo_ViT_05,valid_loss,milo,c,0.5,cossim,ViT,stochastic_sampling_epsilon_experiment,1.00E-05
